const,cast,cast_id,cover_url,genres,plot,rating,title,year
111161,"Tim Robbins, Morgan Freeman, Bob Gunton","['0000209', '0000151', '0348409', '0006669', '0000317', '0004743', '0001679', '0926235', '0218810', '0104594']","https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SY150_CR0,0,101,150_.jpg",Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",9.3,The Shawshank Redemption,1994
468569,"Christian Bale, Heath Ledger, Aaron Eckhart","['0000288', '0005132', '0001173', '0000323', '0350454', '0000198', '0000151', '1010931', '0212939', '0614165']","https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_SY150_CR0,0,101,150_.jpg","Action, Crime, Drama","When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham. The Dark Knight must accept one of the greatest psychological and physical tests of his ability to fight injustice.",9.0,The Dark Knight,2008
1375666,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page","['0000138', '0330687', '0680983', '0362766', '0913822', '2438307', '0614165', '0000297', '0182839', '0000592']","https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_SY150_CR0,0,101,150_.jpg","Action, Adventure, Sci-Fi",A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO.,8.8,Inception,2010
137523,"Edward Norton, Brad Pitt, Meat Loaf","['0001570', '0000093', '0001533', '0340260', '0037118', '0028625', '0536574', '0094163', '0000307', '0127680']","https://m.media-amazon.com/images/M/MV5BMjJmYTNkNmItYjYyZC00MGUxLWJhNWMtZDY4Nzc1MDAwMzU5XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SY150_CR0,0,101,150_.jpg",Drama,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",8.8,Fight Club,1999
110912,"Tim Roth, Amanda Plummer, Laura Lovelace","['0000619', '0001625', '0522503', '0000237', '0000168', '0482851', '0001844', '0824882', '0000246', '0000609']","https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SY150_CR1,0,101,150_.jpg","Crime, Drama","The lives of two mob hitmen, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",8.9,Pulp Fiction,1994
109830,"Tom Hanks, Rebecca Williams, Sally Field","['0000158', '0931508', '0000398', '0402011', '0381041', '0446404', '0672225', '0709615', '0027402', '0602071']","https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SY150_CR1,0,101,150_.jpg","Drama, Romance","The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate, and other history unfold through the perspective of an Alabama man with an IQ of 75.",8.8,Forrest Gump,1994
120737,"Alan Howard, Noel Appleby, Sean Astin","['0397102', '0032370', '0000276', '1019674', '0000293', '0000949', '0089217', '0101710', '0190744', '1104283']","https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SY150_CR0,0,101,150_.jpg","Adventure, Drama, Fantasy",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,8.8,The Lord of the Rings: The Fellowship of the Ring,2001
133093,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss","['0000206', '0000401', '0005251', '0915989', '0287825', '0001592', '0159059', '0032810', '0233391', '0565883']","https://m.media-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX101_CR0,0,101,150_.jpg","Action, Sci-Fi",A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.,8.7,The Matrix,1999
167260,"Noel Appleby, Ali Astin, Sean Astin","['0032370', '0040012', '0000276', '0040058', '0045324', '0000293', '0000949', '0089217', '0101710', '1480092']","https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SY150_CR0,0,101,150_.jpg","Adventure, Drama, Fantasy",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,8.9,The Lord of the Rings: The Return of the King,2003
68646,"Marlon Brando, Al Pacino, James Caan","['0000008', '0000199', '0001001', '0144710', '0000380', '0001330', '0549134', '0002017', '0504803', '0000473']","https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SY150_CR2,0,101,150_.jpg","Crime, Drama",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,9.2,The Godfather,1972
